Move,Id,A,S,Page,Title,Cue,Entrances,Exits,OnStage,Note1,Note2,Note3 
40,26.1,1, 4,26,all but Tevye + Lazar OFF,"""...doing here so early?""",,"Mendel (Gabe Garcia), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Fyedka (Luke Crory), Sasha (Ben Erdody), Russian (Crista Burrell)","Tevye (Patrick McCarty), Lazar Wolf (Jim O'Mara)",,,
41,30.12,1, 4,30,"Mendel, Inkeeper ON","""Reb Mordcha.""","Mendel (Gabe Garcia), Innkeeper (Steve Kelley)",,"Tevye (Patrick McCarty), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley)",,,
42,31.1,1, 4,31,"Mendel, Inkeeper OFF","""I'm taking myself a bride.""",,"Mendel (Gabe Garcia), Innkeeper (Steve Kelley)","Tevye (Patrick McCarty), Lazar Wolf (Jim O'Mara)",,,
43,31.4,1, 4,31,Hanging Mics On,All say congratulations,Hanging Mics (Hanging Mics),,"Tevye (Patrick McCarty), Lazar Wolf (Jim O'Mara), Hanging Mics (Hanging Mics)",,,
44,31.8,1, 4,31,"Tevye, Lazar OFF","""My wife!""",,"Tevye (Patrick McCarty), Lazar Wolf (Jim O'Mara)",Hanging Mics (Hanging Mics),,,
45,32.1,1, 5,32,Russian (TBD) ON,"""Dai-dai-dai""'s",,,Hanging Mics (Hanging Mics),,,
46,32.3,1, 5,32,"Russian OFF, Tevye ON",End of Russians singing,Tevye (Patrick McCarty),,"Tevye (Patrick McCarty), Hanging Mics (Hanging Mics)",,,
47,32.5,1, 5,32,Tevye OFF,"Final ""To Life!"" as song ends",,"Tevye (Patrick McCarty), Hanging Mics (Hanging Mics)",,,,
48,32.6,1, 5,32,"Tevye, Lazar ON",A1 S5 Lights Up,"Tevye (Patrick McCarty), Lazar Wolf (Jim O'Mara)",,"Tevye (Patrick McCarty), Lazar Wolf (Jim O'Mara)",,,
49,32.8,1, 5,32,"Con, Fyed ON, Laz OFF","""...younger than myself""","Fyedka (Luke Crory), Constable (Jon Noble)",Lazar Wolf (Jim O'Mara),"Tevye (Patrick McCarty), Fyedka (Luke Crory), Constable (Jon Noble)",,,
50,33.2,1, 5,33,Fyedka OFF,"""...his oldest daughter.""",,Fyedka (Luke Crory),"Tevye (Patrick McCarty), Constable (Jon Noble)",,,
51,34.1A,1, 6,34,Constable OFF,"""..your honor. Goodbye.""",,Constable (Jon Noble),Tevye (Patrick McCarty),,,
52,34.1B,1, 6,34,Tevye OFF,"""...my Tzeitel. L'chaim.""",,Tevye (Patrick McCarty),,,,
53,34.2,1, 6,34,"Per, Shpr, Biel ON",A1 S6 Lights Up,"Perchik (Duncan McGrath), Bielke (Emma Melanson), Shprintze (Hadley Harris)",,"Perchik (Duncan McGrath), Bielke (Emma Melanson), Shprintze (Hadley Harris)",,,
54,34.7,1, 6,34,"Golde, Hodel ON","""Good, now...""","Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen)",,"Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen), Perchik (Duncan McGrath), Bielke (Emma Melanson), Shprintze (Hadley Harris)",,,
55,35.3,1, 6,35,"Gol, Shpr, Biel OFF","""...and clean the barn.""",,"Golde (Karin Harvey-Olsen), Bielke (Emma Melanson), Shprintze (Hadley Harris)","Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath)",,,
56,36.13,1, 6,36,Tevye ON,"Perchik: ""Good day!""",Tevye (Patrick McCarty),,"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath)",,,
57,37.5,1, 6,37,Hodel OFF,"""Call her out.""",,Hodel (Katie Giannokopoulos),"Tevye (Patrick McCarty), Perchik (Duncan McGrath)",,,
58,37.6,1, 6,37,Golde ON,Golde's entrance,Golde (Karin Harvey-Olsen),,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Perchik (Duncan McGrath)",,,
59,37.9,1, 6,37,"Golde, Hodel, Chava ON","""You can die from such a man!""","Tzeitel (Lauren Busa), Hodel (Katie Giannokopoulos), Chava (Lindsey Murch)",,"Tevye (Patrick McCarty), Tzeitel (Lauren Busa), Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen), Perchik (Duncan McGrath), Chava (Lindsey Murch)",,,
60,38.5,1, 6,38,Gold OFF,"""My Tzeitel, a bride!""",,Golde (Karin Harvey-Olsen),"Tevye (Patrick McCarty), Tzeitel (Lauren Busa), Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath), Chava (Lindsey Murch)",,,
61,38.6,1, 6,38,"Hodel, Chava OFF","""Mazeltov, Tzeitel.""",,"Hodel (Katie Giannokopoulos), Chava (Lindsey Murch)","Tevye (Patrick McCarty), Tzeitel (Lauren Busa), Perchik (Duncan McGrath)",,,
62,39.1,1, 6,39,Perchik OFF,"""I see. I see very well.""",,Perchik (Duncan McGrath),"Tevye (Patrick McCarty), Tzeitel (Lauren Busa)",,,
63,39.14,1, 6,39,Motel ON,"""..after all our hard work.""",Motel (William Desharnais),,"Tevye (Patrick McCarty), Tzeitel (Lauren Busa), Motel (William Desharnais)",,,
64,44.1,1, 6,44,Tevye OFF,"""Help!""",,Tevye (Patrick McCarty),"Tzeitel (Lauren Busa), Motel (William Desharnais)",,,
65,44.3,1, 6,44,Tzeitel OFF,Start of Miracle or Miracles,,Tzeitel (Lauren Busa),Motel (William Desharnais),,,
66,45.1,1, 7,45,Motel OFF,End of Miracle of Miracles,,Motel (William Desharnais),,,,
67,45.2,1, 7,45,"Tevye, Golde ON",A1 S7 Lights Up,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,
68,46.10,1, 7,46,"Grandma, Rabbi ON","""She said to me...""","Rabbi (Russell Arrowsmith), Grandma Tzeitel (Patty Helbig)",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Rabbi (Russell Arrowsmith), Grandma Tzeitel (Patty Helbig)",,,
69,47.11,1, 7,47,Rabbi OFF,"""She must've heard wrong.""",,Rabbi (Russell Arrowsmith),"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Grandma Tzeitel (Patty Helbig)",,,
70,48.9,1, 7,48,"Gol, Gma OFF Hanging mics ON","""That's your headache too.""",Hanging Mics (Hanging Mics),"Golde (Karin Harvey-Olsen), Grandma Tzeitel (Patty Helbig)","Tevye (Patrick McCarty), Hanging Mics (Hanging Mics)",,,
71,49.5,1, 7,49,"Fruma ON, Hang mics OFF",Fruma Sarah's Entrance,Fruma Sarah (Laura Majore),Hanging Mics (Hanging Mics),"Tevye (Patrick McCarty), Fruma Sarah (Laura Majore)",,,
72,51.6,1, 7,51,"Fruma OFF, Golde ON",End of Fruma's last solo,Golde (Karin Harvey-Olsen),Fruma Sarah (Laura Majore),"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,
73,52.7,1, 8,52,"Tevye, Golde OFF",End of song,,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,,
74,52.12,1, 8,52,"Mend, Deb, Libby ON",A1 Sc8 Lights up,"Mendel (Gabe Garcia), Deb (Deb Curran), Libby (Libby St. Jean)",,"Mendel (Gabe Garcia), Deb (Deb Curran), Libby (Libby St. Jean)",,,
75,53.3,1, 8,53,"Mend, Lib, Deb OFF, Av, Inn ON","All say ""Mazeltov""","Innkeeper (Steve Kelley), Avram (Mel Bucklin)","Mendel (Gabe Garcia), Deb (Deb Curran), Libby (Libby St. Jean)","Innkeeper (Steve Kelley), Avram (Mel Bucklin)",,,
76,53.9,1, 8,53,"Inn, Av OFF, Patti, Sha ON","Inkeeper: ""Mazeltov, Motel""","Patti (Patti O'Mara), Shaindel (Karen Hammes)","Innkeeper (Steve Kelley), Avram (Mel Bucklin)","Patti (Patti O'Mara), Shaindel (Karen Hammes)",,,
77,53.13,1, 8,53,"Women OFF, Mot, Yus ON","""Excuse me Shaindel, Mazeltov""","Motel (William Desharnais), Yussel (Ally LaManna)","Patti (Patti O'Mara), Shaindel (Karen Hammes)","Motel (William Desharnais), Yussel (Ally LaManna)",,,
78,54.5,1, 8,54,Chava ON,"""I'll be back soon""",Chava (Lindsey Murch),,"Motel (William Desharnais), Chava (Lindsey Murch), Yussel (Ally LaManna)",,,
79,54.8,1, 8,54,"Motel, Yussel OFF","""Come Motel, I'll show you.""",,"Motel (William Desharnais), Yussel (Ally LaManna)",Chava (Lindsey Murch),,,
80,54.10,1, 8,54,"Fyedka, Sasha, Russian ON",Russians entrance,"Fyedka (Luke Crory), Sasha (Ben Erdody), Russian (Crista Burrell)",,"Chava (Lindsey Murch), Fyedka (Luke Crory), Sasha (Ben Erdody), Russian (Crista Burrell)",,,
81,55.5,1, 8,55,"Russian, Sasha OFF","""I said goodbye!""",,"Sasha (Ben Erdody), Russian (Crista Burrell)","Chava (Lindsey Murch), Fyedka (Luke Crory)",,,
82,56.5,1, 8,56,Motel ON,"""..turn out quite pleasant.""",Motel (William Desharnais),,"Motel (William Desharnais), Chava (Lindsey Murch), Fyedka (Luke Crory)",,,
83,57.1,1, 9,57,"Motel, Chava, Fyedka OFF","""Good day, Fyedka.""",,"Motel (William Desharnais), Chava (Lindsey Murch), Fyedka (Luke Crory)",,,,
84,57.2,1, 9,57,"Golde, Tevye ON","Sunrise, Sunset starts","Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,
85,58.2,1, 9,58,Hanging mics ON,"""...when they were small?""",Hanging Mics (Hanging Mics),,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Hanging Mics (Hanging Mics)",,,
86,58.5,1, 9,58,"Hodel, Perchik ON","""from one another, day by day""","Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath)",,"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen), Perchik (Duncan McGrath), Hanging Mics (Hanging Mics)",,,
87,58.8,1, 9,58,All but hang mics off,"""a canopy in store for me?""",,"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen), Perchik (Duncan McGrath)",Hanging Mics (Hanging Mics),,,
88,59.1,1,10,59,"Inn, Rab, Gol ON",MAZELTOV!,"Golde (Karin Harvey-Olsen), Innkeeper (Steve Kelley), Rabbi (Russell Arrowsmith)",,"Golde (Karin Harvey-Olsen), Innkeeper (Steve Kelley), Hanging Mics (Hanging Mics), Rabbi (Russell Arrowsmith)",,,
89,60.1,1,10,60,"Tev, Laz, Mend ON","""Come, Lazar Wolf.""","Tevye (Patrick McCarty), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara)",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Hanging Mics (Hanging Mics), Rabbi (Russell Arrowsmith)",,,
90,61.4,1,10,61,"Yente, Shaindel ON",,"Yente (Lucy Spencer), Shaindel (Karen Hammes)",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Hanging Mics (Hanging Mics), Yente (Lucy Spencer), Rabbi (Russell Arrowsmith), Shaindel (Karen Hammes)",,,
91,62.8,1,10,62,"Perchik, Avram, Hodel ON",Perchik stands on chair,"Hodel (Katie Giannokopoulos), Perchik (Duncan McGrath), Avram (Mel Bucklin)",Hanging Mics (Hanging Mics),"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Perchik (Duncan McGrath), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Yente (Lucy Spencer), Rabbi (Russell Arrowsmith), Shaindel (Karen Hammes)",,,
92,64.11,1,10,64,All but Shaindel OFF,"""dance with my wife, Golde.""",,"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Perchik (Duncan McGrath), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Yente (Lucy Spencer), Rabbi (Russell Arrowsmith)",Shaindel (Karen Hammes),,,
93,64.12,1,10,64,Shaindel OFF,"""Motel!""",,Shaindel (Karen Hammes),,,,
