Move,Id,A,S,Page,Title,Cue,Entrances,Exits,OnStage,Note1,Note2,Note3 
127,88.1,2, 6,88,Chava ON,End of Tevye's singing,Chava (Lindsey Murch),,"Tevye (Patrick McCarty), Chava (Lindsey Murch)",,,
128,88.4,2, 6,88,"Tevye, Chava OFF","Ensemble sings ""Tradition""",,"Tevye (Patrick McCarty), Chava (Lindsey Murch)",,,,
129,89.1,2, 7,89,"Yente, Golde ON",A2 S7 Lights up,"Golde (Karin Harvey-Olsen), Yente (Lucy Spencer)",,"Golde (Karin Harvey-Olsen), Yente (Lucy Spencer)",,,
130,89.5,2, 7,89,"Av, Laz, Mend, Inn ON","""...take your pick.""","Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Avram (Mel Bucklin)",,"Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Yente (Lucy Spencer)",,,
131,89.10,2, 7,89,Tevye ON,Tevye's entrance,Tevye (Patrick McCarty),,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Yente (Lucy Spencer)",,,
132,90.4,2, 7,90,Constable ON,Constable enters,Constable (Jon Noble),,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Yente (Lucy Spencer), Constable (Jon Noble)",,,
133,92.2,2, 7,92,"Constable OFF, Robyn, Beg ON",Constable exits,"Reb Nachum (Rich Sparks), Robyn (Robyn Holley)",Constable (Jon Noble),"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Yente (Lucy Spencer), Reb Nachum (Rich Sparks), Robyn (Robyn Holley)",,,
134,93.1,2, 7,93,"Inn, Beg, Robyn OFF","Start of ""Anatevka""",,"Innkeeper (Steve Kelley), Reb Nachum (Rich Sparks), Robyn (Robyn Holley)","Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Avram (Mel Bucklin), Yente (Lucy Spencer)",,,
135,94.1,2, 7,94,All OFF,"""A piece of cloth.""",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia), Lazar Wolf (Jim O'Mara), Avram (Mel Bucklin), Yente (Lucy Spencer)",,,,
136,94.1A,2, 7,94,"Golde, Mendel, Tevye ON",end of song,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia)",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia)",,,
137,94.4,2, 7,94,"Golde, Mendel, Tevye OFF","""always wear our hats...""",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen), Mendel (Gabe Garcia)",,,,
138,94.5,2, 7,94,"Shprintze, Motel, Tzeitel ON",A2 S8 Lights up,"Tzeitel (Lauren Busa), Motel (William Desharnais), Shprintze (Hadley Harris)",,"Tzeitel (Lauren Busa), Motel (William Desharnais), Shprintze (Hadley Harris)",,,
139,95.1,2, 8,95,Golde ON,"""enough money to join you.""",Golde (Karin Harvey-Olsen),,"Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Motel (William Desharnais), Shprintze (Hadley Harris)",,,
140,95.3,2, 8,95,"Shpr, Mot, Tz OFF Yente ON","""pack the rest of the clothes""",Yente (Lucy Spencer),"Tzeitel (Lauren Busa), Motel (William Desharnais), Shprintze (Hadley Harris)","Golde (Karin Harvey-Olsen), Yente (Lucy Spencer)",,,
141,95.8,2, 8,95,"Yente OFF, Tevye ON",Yente exits,Tevye (Patrick McCarty),Yente (Lucy Spencer),"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,
142,96.10,2, 8,96,"Golde OFF, Lazar ON","""leave a dirty house.""",Lazar Wolf (Jim O'Mara),Golde (Karin Harvey-Olsen),"Tevye (Patrick McCarty), Lazar Wolf (Jim O'Mara)",,,
143,97.3,2, 8,97,"Lazar OFF, Tzeitel ON","""Goodbye, Tevye.""",Tzeitel (Lauren Busa),Lazar Wolf (Jim O'Mara),"Tevye (Patrick McCarty), Tzeitel (Lauren Busa)",,,
144,97.5A,2, 8,97,Tevye OFF,"""Almost, Papa.""",,Tevye (Patrick McCarty),Tzeitel (Lauren Busa),,,
145,97.5B,2, 8,97,Chava ON,Chava and Fyedka enter,Chava (Lindsey Murch),,"Tzeitel (Lauren Busa), Chava (Lindsey Murch)",,,
146,97.9,2, 8,97,Golde ON,"""I told Mama that...""",Golde (Karin Harvey-Olsen),,"Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Chava (Lindsey Murch)",,,
147,98.1,2, 8,98,"Fyedka, Tevye ON","""We are going to Cracow.""","Tevye (Patrick McCarty), Fyedka (Luke Crory)",,"Tevye (Patrick McCarty), Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Chava (Lindsey Murch), Fyedka (Luke Crory)",,,
148,98.10,2, 8,98,"Chava, Fyedka OFF",Chava's exit,,"Chava (Lindsey Murch), Fyedka (Luke Crory)","Tevye (Patrick McCarty), Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen)",,,
149,98.12,2, 8,98,"Motel, Shprintze, Bielke ON","""We have a train to catch.""","Motel (William Desharnais), Bielke (Emma Melanson), Shprintze (Hadley Harris)",,"Tevye (Patrick McCarty), Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Motel (William Desharnais), Bielke (Emma Melanson), Shprintze (Hadley Harris)",,,
150,99.12,2, 8,99,All OFF,"""Come children..let's go.""",,"Tevye (Patrick McCarty), Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Motel (William Desharnais), Bielke (Emma Melanson), Shprintze (Hadley Harris)",,,,
